! Position	 0 Degree		90 Degree 		180 Degree 		270 Degree
0				0				0				0				0
0.25			0.1280			0.1300			0.1285			0.1265
0.50			0.2385			0.2410			0.2380			0.2360
0.75			0.3325			0.3350			0.3320			0.3290
1.00			0.4110			0.4135			0.4105			0.4080
1.25			0.4750			0.4770			0.4750			0.4730
1.50			0.5270			0.5280			0.5270			0.5255
1.75			0.5665			0.5675			0.5665			0.5650
2.00			0.5940			0.5950			0.5935			0.5930
2.25			0.6100			0.6100			0.6100			0.6095



