240 Rel.Eff. err: 0.00168194 0.00209431 0.00214805 0.00225456 0.00228802  0.0021474 0.00203279 
255 Rel.Eff. val:   0.735164   0.914563   0.993462          1    1.01637   0.961551   0.888741 
255 Rel.Eff. err: 0.00175263 0.00212948 0.00222262 0.00239177 0.00243824 0.00218015 0.00206225 
270 Rel.Eff. val:    0.72915   0.902528   0.984302          1    1.01822   0.956834    0.88964 
270 Rel.Eff. err: 0.00165188 0.00192683 0.00204947 0.00221826 0.00228689 0.00209308 0.00194079 
285 Rel.Eff. val:   0.717652   0.890786   0.985415          1    1.01575    0.94918   0.882754 
285 Rel.Eff. err: 0.00166701 0.00192248 0.00215979 0.00219137 0.00220266 0.00202946  0.0018529 
300 Rel.Eff. val:   0.700812   0.880124    0.99074          1    1.01513   0.952343   0.879388 
300 Rel.Eff. err: 0.00161608 0.00185873 0.00219704 0.00212007 0.00219807 0.00201593 0.00187504 
340 Rel.Eff. val:   0.667625   0.859235   0.984771          1    1.01062    0.92916   0.844807 
340 Rel.Eff. err: 0.00223462 0.00271914 0.00315479 0.00307618 0.00305408 0.00290098 0.00265702 
380 Rel.Eff. val:   0.621607   0.828259   0.975693          1    1.00181   0.901223   0.789477 
380 Rel.Eff. err: 0.00258952 0.00321091 0.00344979 0.00353365 0.00359094  0.0033459 0.00286771 
420 Rel.Eff. val:   0.634909   0.869568   0.990909          1   0.989411   0.888844   0.774708 
420 Rel.Eff. err: 0.00275185 0.00384335 0.00395418 0.00400507 0.00393829  0.0038679 0.00310451 
